bas_dd,isu_cd,open,high,low,close,acc_trdvol,acc_trdval,idx_ind_nm
20180704,069500,29430,29560,29305,29330,7033754,206822047625,코스피 200
20180705,069500,29330,29465,29090,29260,7924009,232052898690,코스피 200
20180706,069500,29250,29605,29130,29470,9005217,264670557280,코스피 200
20180709,069500,29460,29785,29375,29690,8414750,249302473050,코스피 200
20180710,069500,29810,29905,29710,29730,4935065,146998953935,코스피 200
20180711,069500,29515,29635,29280,29560,10275747,303297733050,코스피 200
20180712,069500,29615,29800,29500,29650,7352530,217807317000,코스피 200
20180713,069500,29695,30040,29685,29945,7994166,239591046835,코스피 200
20180716,069500,29975,30050,29825,29855,7842494,234367661790,코스피 200
20180717,069500,29860,29925,29680,29820,7265495,216577450285,코스피 200
20180718,069500,29975,30115,29715,29750,7561082,225767320010,코스피 200
20180719,069500,29855,29905,29650,29670,7061552,210051658560,코스피 200
20180720,069500,29700,29860,29515,29815,8517238,253524115895,코스피 200
20180723,069500,29800,29810,29525,29575,7283838,215760554375,코스피 200
20180724,069500,29630,29720,29470,29665,2562621,75900229005,코스피 200
20180725,069500,29730,29845,29575,29610,6099932,180837062925,코스피 200
20180726,069500,29780,29935,29655,29810,2600186,77444864215,코스피 200
20180727,069500,29850,29900,29755,29900,1658642,49486258190,코스피 200
20180730,069500,29755,29850,29645,29765,5478337,163110641805,코스피 200
20180731,069500,29775,29815,29680,29805,5386124,160452778050,코스피 200
20180801,069500,29865,30035,29845,29910,5678324,169971624410,코스피 200
20180802,069500,29905,29905,29345,29375,5694623,167959353515,코스피 200
20180803,069500,29465,29620,29385,29605,5866437,173529481510,코스피 200
20180806,069500,29630,29785,29560,29560,8368037,248205704905,코스피 200
20180807,069500,29615,29770,29485,29760,6231444,185136182055,코스피 200
20180808,069500,29835,29890,29740,29765,5595826,166791103290,코스피 200
20180809,069500,29765,29800,29625,29750,5010971,149099447790,코스피 200
20180810,069500,29690,29690,29365,29425,5581189,164420987015,코스피 200
20180813,069500,29220,29265,28885,29035,7012003,203723072275,코스피 200
20180814,069500,29050,29220,29035,29165,5149871,150171743000,코스피 200
20180816,069500,28810,28970,28620,28880,6302072,181812316540,코스피 200
20180817,069500,28895,28980,28830,28890,4884596,141253216840,코스피 200
20180820,069500,29015,29150,28880,28915,5171194,149686955895,코스피 200
20180821,069500,28910,29270,28850,29230,4925673,143791375560,코스피 200
20180822,069500,29260,29420,29215,29335,10554904,309856694460,코스피 200
20180823,069500,29475,29480,29300,29455,4872292,143277451185,코스피 200
20180824,069500,29405,29635,29305,29570,3689483,108806629965,코스피 200
20180827,069500,29680,29770,29580,29720,3973910,118071105965,코스피 200
20180828,069500,29860,29935,29730,29740,6654652,198302133375,코스피 200
20180829,069500,29780,29865,29730,29825,3602595,107438850565,코스피 200
20180830,069500,29870,30025,29770,29840,7224077,215808780215,코스피 200
20180831,069500,29710,29975,29655,29960,4563537,136474068145,코스피 200
20180903,069500,29945,29945,29745,29785,5910548,176247327630,코스피 200
20180904,069500,29795,29945,29735,29915,5862865,175238125920,코스피 200
20180905,069500,29815,29875,29485,29530,5890426,174604776710,코스피 200
20180906,069500,29460,29620,29415,29485,6484829,191275773336,코스피 200
20180907,069500,29265,29430,29120,29320,5273817,154478271360,코스피 200
20180910,069500,29310,29450,29280,29385,4890062,143703270120,코스피 200
20180911,069500,29365,29510,29200,29290,4274921,125373509775,코스피 200
20180912,069500,29320,29365,29125,29260,6293426,184119979485,코스피 200
20180913,069500,29280,29380,29230,29300,3420866,100231588785,코스피 200
20180914,069500,29490,29800,29490,29765,5543588,164915595560,코스피 200
20180917,069500,29675,29690,29445,29530,5914153,174859822605,코스피 200
20180918,069500,29335,29690,29320,29660,6237830,184729080555,코스피 200
20180919,069500,29800,29800,29570,29685,6302125,187122040245,코스피 200
20180920,069500,29785,30075,29745,29965,5453327,163332783655,코스피 200
20180921,069500,30050,30085,29935,30085,8269497,248485311695,코스피 200
20180927,069500,30025,30370,30015,30315,4043855,122417178050,코스피 200
20180928,069500,30355,30355,30110,30125,6300176,190220307835,코스피 200
20181001,069500,30175,30265,30010,30120,4431776,133494104065,코스피 200
20181002,069500,30095,30180,29735,29755,4574339,136674468750,코스피 200
20181004,069500,29795,29795,29240,29295,7317253,214702734290,코스피 200
20181005,069500,29250,29360,29055,29250,7924740,231719422470,코스피 200
20181008,069500,29115,29335,29095,29105,4756401,138668823790,코스피 200
20181010,069500,29155,29170,28815,28915,6440283,186469673930,코스피 200
20181011,069500,28195,28375,27695,27720,11753699,328138079890,코스피 200
20181012,069500,27705,28215,27670,27990,16617756,465238042975,코스피 200
20181015,069500,27915,27980,27760,27835,4147308,115445819345,코스피 200
20181016,069500,27955,28045,27725,27760,3406772,94844991865,코스피 200
20181017,069500,28100,28290,28015,28120,4217794,118678747200,코스피 200
20181018,069500,28020,28105,27845,27870,4998217,139492278160,코스피 200
20181019,069500,27660,28020,27500,27980,4378102,121931789525,코스피 200
20181022,069500,27785,28100,27720,28035,3388111,94756458200,코스피 200
20181023,069500,27835,27865,27205,27385,7905379,216779831265,코스피 200
20181024,069500,27530,27555,27200,27245,11305852,308759601085,코스피 200
20181025,069500,26680,26825,26425,26810,10915732,291156915070,코스피 200
20181026,069500,26840,26845,26150,26385,7692140,203416806730,코스피 200
20181029,069500,26480,26655,26125,26170,4954632,130753990480,코스피 200
20181030,069500,26060,26510,25965,26270,7509784,197461398660,코스피 200
20181031,069500,26345,26425,26130,26390,5778168,151976544855,코스피 200
20181101,069500,26435,26725,26280,26280,4801246,127180629605,코스피 200
20181102,069500,26625,27295,26580,27275,6019926,162618517225,코스피 200
20181105,069500,27155,27155,26660,26975,6502516,175158290370,코스피 200
20181106,069500,27120,27210,26870,27165,5950835,161100095930,코스피 200
20181107,069500,27160,27410,26960,27025,6276314,170587995565,코스피 200
20181108,069500,27460,27630,27255,27255,5834098,160144556345,코스피 200
20181109,069500,27250,27350,27075,27090,7903123,214814190775,코스피 200
