ticker,name,feature_complete,exclusion_reason,price_momentum_3m,price_momentum_6m,volatility_20d,liquidity_20d,turnover_rate,drawdown_from_high,price_momentum_3m_norm,price_momentum_6m_norm,volatility_20d_norm,liquidity_20d_norm,turnover_rate_norm,drawdown_from_high_norm,scoring_eligible,composite_score,rank,selected,selection_reason,fallback_stage
466920,SOL 조선TOP3플러스,True,,-13.762626262626265,3.312660716986837,54.069845856569664,70584816496.75,0.6997697480539216,-15.218470705064547,0.03614457831325301,0.22981366459627328,0.41274514744272606,0.8757396449704142,0.17543859649122806,0.3933612332718589,True,0.3069588082515103,131,N,excluded_low_score,
449450,PLUS K방산,True,,13.572811357281145,51.666028341631566,65.74851655887961,95516371893.0,0.7857361789073372,-1.431238332296203,0.5542168674698795,0.6832298136645962,0.3330994477220496,0.9112426035502958,0.24561403508771928,0.03699410317954188,True,0.5178231444914609,63,N,excluded_low_score,
453850,ACE 미국30년국채액티브(H),True,,-0.3823839662447259,-3.8192234245703394,12.694452861347589,16997214714.3,0.8601648875829286,-3.376390842818777,0.29518072289156627,0.062111801242236024,0.6949152856649329,0.5384615384615384,0.3333333333333333,0.08727166426104915,True,0.328043600494326,123,N,excluded_low_score,
294400,KIWOOM 200TR,True,,29.752158797801954,69.30055604331284,64.88580921388105,16279975790.5,0.9683171124985486,-6.569225178665161,0.8012048192771084,0.7888198757763976,0.3389829024317528,0.5029585798816568,0.4444444444444444,0.16979882985616435,True,0.5858409707154844,45,N,excluded_low_score,
329200,TIGER 리츠부동산인프라,True,,7.845379688929555,12.261904761904763,9.472823516231635,20803543181.25,1.5058642311770811,0.0,0.4578313253012048,0.4161490683229814,0.7168860158938171,0.6094674556213018,0.7660818713450293,0.0,True,0.49614041911672846,71,N,excluded_low_score,
284430,KODEX 200미국채혼합,True,,12.275032038780864,27.555865037665384,24.567939830003557,20785399456.0,1.5116445348238463,-1.1722006964539733,0.536144578313253,0.546583850931677,0.6139409862906136,0.6035502958579881,0.7777777777777778,0.03029859704929594,True,0.533591473485309,57,N,excluded_low_score,
487230,KODEX 미국AI전력핵심인프라,True,,18.65588399330731,1.6386394037836816,41.81599147999694,30994316906.5,0.6991474202007609,0.0,0.6144578313253012,0.19875776397515527,0.4963134602220537,0.7041420118343196,0.1695906432748538,0.0,True,0.4211162873285628,99,N,excluded_low_score,
441640,KODEX 미국배당커버드콜액티브,True,,1.126672404350204,9.822414818591207,9.71841456239406,14056396203.75,1.0005254710851355,-0.9350808615007256,0.3795180722891566,0.40372670807453415,0.7152111445651075,0.4378698224852071,0.49707602339181284,0.024169613886790065,True,0.4196874720870613,100,N,excluded_low_score,
0072R0,TIGER KRX금현물,True,,3.8738429893726334,3.412969283276457,39.58357018816083,29722324625.75,0.9388555914877987,-16.27521414755457,0.42168674698795183,0.2360248447204969,0.5115380316130815,0.6686390532544378,0.42105263157894735,0.4206755352044106,True,0.43491037244894865,95,N,excluded_low_score,
315930,KODEX Top5PlusTR,True,,29.037520391517123,79.3142533295551,70.36120419941103,3987037842.0,0.9398281882383377,-9.477147557399324,0.7590361445783133,0.8944099378881988,0.3016420375349145,0.11834319526627218,0.4269005847953216,0.2449616997217311,True,0.536776844323017,56,N,excluded_low_score,
