ticker,name,avg_volume,avg_value,last_price,theme
461340,HANARO 글로벌생성형AI액티브,33601.47619047619,956147338.095238,27860,AI
487750,BNK 온디바이스AI,54917.76190476191,682717145.2380953,13080,AI
394660,TIGER 글로벌자율주행&전기차SOLACTIVE,44543.66666666666,630399251.4285715,14410,전력
440910,WON 미국우주항공방산,26070.42857142857,628217367.1428572,23405,우주항공
446700,RISE 배터리 리사이클링,49757.80952380953,527953776.6666667,10510,2차전지
480310,TIGER 글로벌온디바이스AI,36950.333333333336,499162482.6190477,13470,AI
276990,KODEX 글로벌로봇(합성),18403.19047619048,417488695.95238096,23030,로봇
0005G0,ITF K-AI반도체코어테크,19171.52380952381,357951364.52380955,18840,AI
381560,HANARO Fn전기&수소차,32562.23809523809,315999997.85714287,9690,전력
0082F0,HANARO 유럽방산,21694.714285714286,235228683.0952381,10630,우주항공
